INDICATOR_LABEL,Count,Mean,Median,Std_Dev,Minimum,Maximum
Dynamic general equilibrium model-based (DGE) estimates of informal output (% of official GDP),31,24.91,25.29,1.05,22.75,26.04
Employment outside the formal sector (% of total employment; International Labour Organization; hamonized series),21,27.4,30.5,5.59,18.2,33.3
Informal employment (% of total employment; International Labour Organization; hamonized series),21,39.46,34.7,7.97,31.5,54.1
"Justifiable: Cheating on taxes (1 = never justifiable, 10 = always justifiable; simple country averages)",4,2.75,2.38,0.93,2.13,4.12
Labor force with pension (% of labor force),1,6.3,6.3,,6.3,6.3
Multiple indicators multiple causes model-based (MIMIC) estimates of informal output (% of official GDP),28,27.67,27.6,0.83,26.25,29.34
Number of years firm operated without formal registration (World Bank Enterprise Surveys),2,0.65,0.65,0.49,0.3,1.0
Percent of firms competing against unregistered or informal firms (World Bank Enterprise Surveys),2,31.2,31.2,19.94,17.1,45.3
Percent of firms formally registered when they started operations in the country (World Bank Enterprise Surveys),2,93.4,93.4,3.39,91.0,95.8
Percent of firms identifying practices of competitors in the informal sector as a constraint (World Bank Enterprise Surveys),2,7.6,7.6,5.23,3.9,11.3
Self-employment (% of total employment),18,15.32,15.19,1.69,12.25,19.0
